ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
57,47,26,56.0,94438,1.0,1.8,1,141.0,0,0,0,1,0
58,29,9,51.0,91320,1.0,3.0,2,412.0,0,0,0,1,0
59,56,32,106.0,94941,4.0,2.0,3,0.0,0,1,0,1,0
60,53,29,13.0,92555,3.0,0.4,1,0.0,0,0,0,0,0
61,64,39,68.0,92423,1.0,3.6,2,0.0,0,0,0,1,0
62,56,31,129.0,92719,4.0,3.8,2,0.0,0,0,0,1,1
63,39,19,29.0,94787,4.0,0.6,1,406.0,0,1,0,1,0
64,66,42,44.0,90033,1.0,2.3,1,72.0,0,0,0,1,1
65,41,16,36.0,94504,2.0,1.0,1,0.0,0,0,0,0,0
66,37,13,33.0,94675,2.0,1.1,1,0.0,0,0,0,1,0
67,63,39,46.0,94926,1.0,2.7,1,345.0,0,0,0,1,1
68,39,14,120.0,95980,1.0,1.8,1,0.0,0,0,0,1,0
69,26,4,150.0,94693,1.0,3.2,2,506.0,1,0,0,0,0
70,44,24,45.0,93172,1.0,0.3,1,584.0,0,0,0,0,0
71,58,36,156.0,92796,2.0,4.1,1,0.0,0,0,0,1,1
72,31,10,56.0,92329,2.0,0.9,1,400.0,0,0,0,0,1
73,43,23,143.0,94962,1.0,6.1,2,0.0,0,0,0,1,0
74,28,8,52.0,92356,2.0,0.8,1,0.0,0,0,0,1,0
75,53,29,59.0,93435,1.0,2.5,2,525.0,0,1,0,1,0
76,44,21,67.0,90576,4.0,1.3,1,204.0,0,0,0,0,0
77,37,14,314.0,91903,1.0,7.7,1,477.0,1,0,0,0,0
78,33,9,87.0,91596,4.0,2.1,3,0.0,0,0,0,1,0
79,48,25,37.0,92610,3.0,1.6,1,0.0,0,0,0,1,1
80,53,30,93.0,93012,4.0,2.9,1,0.0,0,1,0,1,0
81,65,45,45.0,94298,3.0,1.1,1,339.0,0,0,0,1,1
82,42,17,42.0,92591,2.0,2.2,3,0.0,0,0,0,1,0
83,30,8,90.0,90902,3.0,3.3,2,598.0,0,0,0,1,1
84,60,40,56.0,93270,2.0,0.9,2,0.0,0,0,0,0,0
85,51,27,64.0,90328,1.0,3.5,3,0.0,0,0,0,1,0
86,54,30,55.0,95094,2.0,1.3,1,0.0,0,0,1,0,0
87,27,7,66.0,94623,2.0,0.5,3,313.0,0,0,0,1,0
88,37,16,69.0,91351,1.0,2.2,1,322.0,0,0,0,1,0
89,57,37,19.0,91579,1.0,0.2,2,521.0,0,0,0,1,0
90,60,39,79.0,90165,4.0,1.4,2,0.0,0,0,0,0,0
91,42,22,32.0,92186,3.0,1.5,1,0.0,0,1,0,1,0
92,59,35,25.0,90229,2.0,0.3,3,300.0,0,0,0,1,1
93,60,37,53.0,95618,4.0,2.6,1,0.0,0,0,0,0,1
94,40,15,57.0,90805,1.0,3.2,3,0.0,0,0,0,0,0
95,63,39,37.0,93956,2.0,1.4,1,122.0,0,0,0,0,1
96,35,12,86.0,93422,4.0,3.8,2,269.0,0,0,0,1,0
97,33,10,26.0,91421,3.0,1.2,3,276.0,0,1,0,1,0
98,53,33,44.0,94849,2.0,2.6,1,0.0,0,0,0,0,1
99,51,31,40.0,90653,2.0,1.0,3,0.0,0,0,0,0,0
100,29,6,53.0,95320,1.0,0.7,2,0.0,0,0,0,0,0
101,60,40,64.0,94442,1.0,2.1,2,0.0,0,0,0,1,0
102,31,11,31.0,93810,1.0,1.1,1,0.0,0,0,0,1,0
103,59,38,81.0,95277,4.0,1.2,2,0.0,0,0,0,0,0
104,23,0,57.0,92418,3.0,2.2,2,0.0,0,0,0,0,0
105,58,36,19.0,91689,2.0,0.1,2,0.0,0,0,0,1,0
106,58,34,19.0,90927,4.0,1.1,1,0.0,0,0,0,0,0
107,58,36,54.0,95546,1.0,1.1,1,0.0,0,0,0,1,0
108,52,31,48.0,92408,1.0,0.3,3,0.0,0,0,1,1,0
109,44,22,52.0,94976,2.0,0.6,1,0.0,0,0,0,1,1
110,54,34,54.0,91994,4.0,1.0,2,0.0,0,0,0,0,1
111,35,11,62.0,95729,3.0,1.2,3,0.0,0,1,0,1,0
112,58,37,92.0,95220,4.0,0.6,1,0.0,0,0,0,1,1
113,48,26,30.0,91848,1.0,0.6,1,0.0,0,0,0,0,0
114,43,18,29.0,92920,4.0,0.5,2,0.0,0,0,0,1,0
115,45,22,30.0,94763,1.0,0.8,1,0.0,0,0,0,0,0
116,48,26,64.0,91357,1.0,1.7,2,0.0,0,1,0,1,0
117,24,1,108.0,90142,3.0,2.6,2,0.0,0,0,1,1,1
118,29,5,43.0,91732,1.0,1.0,2,425.0,0,0,0,0,1
119,34,13,14.0,93543,,0.1,1,0.0,0,0,0,0,0
120,28,5,21.0,90818,4.0,0.1,2,0.0,0,0,0,1,0
121,42,17,35.0,92000,3.0,0.6,2,0.0,0,0,0,0,0
122,53,30,,95511,2.0,1.9,1,0.0,0,1,0,0,0
123,52,30,44.0,90450,1.0,2.6,2,0.0,0,0,0,0,0
124,44,24,56.0,90302,3.0,3.1,3,0.0,0,0,0,0,1
125,61,40,46.0,92543,3.0,1.5,2,327.0,0,0,0,1,1
126,48,23,97.0,90077,4.0,3.3,2,0.0,0,0,0,1,1
127,26,3,38.0,90166,3.0,0.8,1,416.0,0,0,0,1,0
128,57,36,34.0,91097,1.0,1.6,1,0.0,0,0,0,1,0
129,48,26,71.0,90613,1.0,3.3,1,0.0,0,0,0,0,0
130,51,28,23.0,94865,4.0,1.2,1,0.0,0,0,0,1,1
131,48,25,68.0,90736,1.0,3.7,3,77.0,0,0,0,1,0
132,47,23,58.0,93140,4.0,1.7,1,66.0,0,0,0,1,0
133,27,6,50.0,94231,1.0,2.4,3,0.0,0,1,0,1,0
134,48,25,131.0,93755,3.0,6.5,1,0.0,0,0,0,1,1
135,58,36,39.0,93923,4.0,0.9,1,246.0,0,0,0,0,1
136,36,11,170.0,92146,2.0,9.5,1,0.0,1,0,0,1,0
137,50,30,48.0,95333,1.0,0.5,1,589.0,0,0,0,1,0
138,24,4,27.0,90412,4.0,1.6,3,0.0,0,0,0,1,1
139,38,16,57.0,90643,1.0,2.7,3,449.0,0,0,0,0,0
140,42,19,30.0,95136,3.0,0.3,3,206.0,0,0,0,1,0
141,67,43,36.0,90410,4.0,1.5,1,89.0,0,0,0,1,0
142,32,10,68.0,91151,3.0,0.5,3,0.0,0,0,0,1,0
143,35,10,74.0,91039,1.0,3.5,1,0.0,0,0,1,1,0
144,41,19,39.0,90198,4.0,1.9,3,0.0,0,0,0,0,1
145,67,47,94.0,90702,1.0,3.6,2,0.0,0,0,0,0,0
146,61,41,103.0,93436,3.0,5.4,1,460.0,0,0,0,0,0
147,24,0,120.0,93967,3.0,1.2,1,473.0,0,0,0,0,0
148,33,13,73.0,90499,2.0,1.5,1,448.0,0,0,0,1,0
149,59,34,116.0,95654,2.0,3.2,1,0.0,0,0,0,1,0
150,25,4,19.0,90574,1.0,0.1,3,437.0,0,0,0,1,0
151,61,41,46.0,94122,4.0,1.4,3,0.0,0,0,0,1,0
152,35,14,34.0,94802,1.0,0.7,3,183.0,0,0,0,1,0
153,64,41,58.0,93124,2.0,1.5,1,201.0,0,0,0,1,0
154,36,14,40.0,92949,3.0,1.1,2,497.0,0,1,0,1,0
155,42,18,50.0,90654,3.0,2.7,1,138.0,0,0,0,1,0
156,52,29,154.0,91449,3.0,3.1,2,0.0,0,0,0,0,0
157,28,6,50.0,95103,3.0,2.7,1,0.0,0,0,0,0,0
158,48,25,69.0,92091,3.0,2.0,1,70.0,0,0,0,0,0
159,45,20,48.0,90206,4.0,1.1,2,0.0,0,0,0,1,1
160,58,36,57.0,94375,2.0,1.9,1,0.0,0,0,0,1,0
161,67,47,55.0,94101,4.0,1.5,2,0.0,0,0,0,0,1
162,52,30,70.0,90398,4.0,1.3,2,0.0,0,0,0,0,0
163,41,16,104.0,90306,4.0,3.4,1,0.0,1,0,0,1,1
164,41,20,135.0,90698,4.0,1.8,3,0.0,0,0,0,1,0
165,41,16,65.0,90305,4.0,1.6,2,0.0,0,0,0,1,0
166,59,36,76.0,93697,1.0,2.7,3,0.0,0,0,0,0,0
167,37,14,29.0,90795,4.0,0.8,2,0.0,0,0,0,0,0
168,30,9,52.0,93641,3.0,2.6,3,93.0,0,0,1,1,1
169,38,13,92.0,91056,2.0,1.8,3,0.0,0,1,0,1,1
170,24,4,88.0,95834,3.0,5.1,3,0.0,0,1,0,1,0
171,27,6,61.0,94355,2.0,2.9,2,423.0,0,0,0,1,0
172,27,5,89.0,92247,3.0,5.2,1,0.0,0,0,0,0,0
173,57,35,72.0,92572,4.0,3.7,1,0.0,0,0,1,1,0
174,55,33,106.0,90390,1.0,1.4,2,590.0,1,0,0,1,1
175,54,34,64.0,90329,2.0,2.2,1,0.0,0,0,0,1,0
176,43,22,45.0,93225,4.0,0.6,1,0.0,0,0,0,0,1
177,55,35,66.0,90136,2.0,3.3,1,0.0,0,0,0,1,0
178,30,7,11.0,93830,4.0,0.4,2,552.0,0,1,0,1,1
179,63,41,67.0,92294,1.0,1.3,1,404.0,0,0,0,0,0
180,45,22,8.0,90837,3.0,0.4,2,0.0,0,0,0,0,0
181,65,42,21.0,93214,4.0,0.2,3,179.0,0,0,0,0,1
182,29,5,70.0,93317,4.0,2.5,3,323.0,0,0,0,0,0
183,45,22,71.0,94477,1.0,3.2,1,451.0,0,0,0,1,0
184,54,31,29.0,91186,4.0,0.2,2,161.0,0,0,0,0,0
185,45,22,37.0,93284,2.0,1.4,2,0.0,0,1,0,0,0
186,43,20,116.0,95068,2.0,5.8,2,0.0,0,0,0,1,1
187,30,7,,91619,2.0,0.4,2,0.0,0,0,0,0,1
188,40,19,187.0,95010,3.0,6.2,1,0.0,1,0,0,1,0
189,33,12,,94340,3.0,1.1,3,0.0,0,0,1,1,1
190,36,12,68.0,92577,2.0,2.8,1,269.0,0,0,0,1,0
191,53,31,133.0,95299,1.0,1.5,3,393.0,0,0,0,1,1
192,51,28,59.0,95800,4.0,3.3,2,558.0,0,0,0,0,0
193,50,29,31.0,91421,1.0,1.7,1,593.0,0,0,0,1,0
194,39,17,51.0,95878,1.0,0.8,3,408.0,0,0,0,1,0
195,66,43,54.0,90014,3.0,1.2,1,435.0,0,0,0,1,0
196,26,3,26.0,90775,2.0,1.0,3,227.0,0,0,0,1,0
197,38,15,47.0,90259,3.0,2.1,2,0.0,0,0,1,1,0
198,28,6,36.0,92206,4.0,1.1,1,0.0,0,0,0,1,0
199,38,13,91.0,95621,1.0,1.2,1,0.0,0,0,0,0,0
200,66,43,56.0,93601,2.0,0.6,3,0.0,0,0,0,0,0
201,39,15,47.0,93699,3.0,2.8,1,0.0,0,0,0,1,0
202,63,39,52.0,90509,4.0,1.6,3,217.0,0,0,0,0,0
203,45,22,62.0,93096,3.0,3.3,3,0.0,0,0,0,0,1
204,54,29,77.0,92295,2.0,2.4,2,307.0,0,0,0,0,0
205,43,23,32.0,92876,3.0,1.8,1,0.0,0,1,0,1,1
206,34,9,31.0,91567,4.0,0.3,2,0.0,0,0,0,1,1
207,57,32,100.0,91209,2.0,1.1,3,0.0,1,0,0,0,0
208,66,43,44.0,95712,4.0,2.5,1,352.0,0,0,0,1,0
209,34,10,25.0,93350,4.0,1.4,1,0.0,0,0,0,1,1
210,58,35,70.0,92469,2.0,1.6,1,0.0,0,0,0,0,1
211,34,13,70.0,90442,1.0,1.7,1,0.0,0,0,0,1,0
212,55,31,24.0,94576,4.0,0.7,3,0.0,0,0,0,0,1
213,58,37,62.0,92835,1.0,1.7,2,0.0,0,0,0,1,1
214,43,22,82.0,92320,2.0,1.3,2,545.0,1,0,0,0,0
215,56,33,67.0,94001,1.0,3.6,1,0.0,0,0,0,1,1
216,35,10,77.0,90790,3.0,1.5,1,0.0,0,1,0,1,0
217,26,4,25.0,93199,2.0,1.1,1,517.0,0,0,1,0,1
218,27,5,66.0,95178,3.0,0.6,3,232.0,0,0,0,1,1
219,43,23,46.0,92783,4.0,0.3,2,0.0,0,0,0,0,0
220,63,43,42.0,90002,4.0,1.7,1,0.0,0,0,0,0,0
221,28,8,88.0,91379,4.0,2.1,3,0.0,0,0,0,1,0
222,43,23,123.0,90335,1.0,5.0,1,0.0,0,0,0,1,1
223,54,29,146.0,93001,2.0,1.5,1,0.0,0,0,0,0,0
224,32,7,113.0,92186,1.0,6.5,1,0.0,0,0,0,0,1
225,55,31,51.0,90794,4.0,2.4,3,407.0,0,0,0,0,0
226,36,16,66.0,94121,3.0,3.5,2,0.0,0,0,0,1,0
227,59,39,83.0,91059,2.0,1.0,2,0.0,0,0,0,0,1
228,49,28,58.0,92050,3.0,1.3,1,429.0,0,0,0,1,0
229,47,24,59.0,95926,3.0,1.5,1,0.0,0,0,0,0,0
230,30,8,,90397,2.0,3.0,2,172.0,0,0,0,1,0
231,43,21,53.0,91486,2.0,1.1,1,0.0,0,0,0,1,0
232,61,40,37.0,91907,1.0,0.3,3,0.0,0,0,0,0,0
233,23,0,43.0,93052,2.0,1.1,3,0.0,0,0,0,0,0
234,57,36,77.0,91469,2.0,1.5,2,0.0,0,0,0,1,0
235,45,25,55.0,95820,4.0,1.4,3,0.0,0,0,0,0,0
236,55,31,66.0,90032,4.0,1.0,3,0.0,0,0,0,1,0
237,52,27,79.0,95688,4.0,1.5,2,0.0,0,0,0,1,0
238,42,22,44.0,93208,1.0,1.7,2,0.0,0,0,0,1,0
239,36,14,83.0,90229,4.0,2.2,3,221.0,0,1,0,1,1
240,51,27,67.0,90699,2.0,1.6,1,305.0,0,0,0,1,0
241,29,5,28.0,90618,2.0,1.0,3,0.0,1,0,0,1,0
242,49,24,121.0,91724,4.0,5.7,1,491.0,0,1,0,1,0
243,27,5,41.0,91998,4.0,1.1,2,0.0,0,0,0,0,1
244,52,30,22.0,93847,1.0,0.8,3,0.0,0,0,0,0,1
245,51,27,31.0,91867,2.0,1.8,2,0.0,0,0,1,0,1
246,26,6,31.0,94350,3.0,1.0,2,529.0,0,0,0,1,1
247,57,36,56.0,91762,3.0,3.1,2,0.0,0,0,0,0,0
248,41,18,47.0,91580,2.0,2.3,1,0.0,0,1,0,1,1
249,58,34,45.0,91652,3.0,0.4,1,0.0,0,0,0,0,0
250,24,4,77.0,91975,4.0,2.2,1,136.0,0,0,0,1,1
251,31,8,66.0,95026,1.0,2.9,2,0.0,0,0,0,1,1
252,45,23,65.0,91481,3.0,3.9,2,554.0,1,0,0,1,1
253,31,8,68.0,91639,3.0,2.1,1,0.0,0,0,0,0,0
254,37,12,77.0,95741,4.0,0.8,3,96.0,0,0,0,0,1
255,52,32,17.0,93922,2.0,0.6,1,0.0,0,0,1,0,0
256,29,4,45.0,91143,1.0,0.5,2,275.0,0,0,0,0,0
257,53,31,16.0,95209,3.0,0.7,1,0.0,0,0,0,0,0
258,27,3,56.0,91099,3.0,1.8,1,237.0,0,0,0,1,0
259,30,8,54.0,90972,2.0,2.4,3,0.0,0,0,0,0,0
260,49,28,97.0,92670,4.0,5.1,2,0.0,1,0,0,1,0
261,58,34,105.0,94147,4.0,4.2,1,0.0,0,0,0,1,0
262,30,6,61.0,91135,1.0,2.4,3,219.0,0,0,0,1,0
263,36,16,41.0,94519,4.0,1.9,3,69.0,0,0,0,0,0
264,64,40,71.0,90940,1.0,3.6,3,205.0,0,0,0,0,0
265,67,43,41.0,94690,2.0,2.2,3,0.0,0,0,0,1,1
266,49,27,55.0,90575,1.0,0.4,3,0.0,0,0,0,1,0
267,43,18,94.0,92786,2.0,3.3,1,111.0,0,0,0,1,1
268,38,15,40.0,93841,4.0,0.7,2,0.0,0,0,0,0,0
269,50,28,85.0,91593,2.0,4.4,2,93.0,0,0,0,0,0
270,49,29,79.0,93672,3.0,3.2,1,0.0,0,0,0,1,0
271,36,12,32.0,94131,1.0,0.9,1,0.0,0,0,0,1,0
272,24,3,93.0,93900,3.0,1.4,1,0.0,1,0,0,1,0
273,29,5,80.0,92381,2.0,1.9,2,0.0,0,0,0,1,0
274,66,43,58.0,94639,3.0,2.5,3,0.0,0,0,0,1,0
275,41,19,36.0,94389,4.0,0.6,3,0.0,0,0,0,1,0
276,44,24,34.0,91958,3.0,0.3,1,241.0,0,0,0,1,0
277,44,20,41.0,94400,1.0,2.2,1,0.0,0,1,0,1,0
278,58,38,74.0,95510,2.0,3.5,2,0.0,0,0,0,0,1
279,25,3,32.0,94900,1.0,0.5,2,0.0,0,0,0,1,0
280,26,1,69.0,94399,2.0,1.5,3,451.0,0,0,0,1,0
281,35,10,28.0,94599,1.0,1.6,3,309.0,0,0,1,0,0
282,44,19,49.0,94828,3.0,2.2,3,0.0,0,0,1,0,0
283,53,28,58.0,91734,2.0,2.2,3,0.0,0,0,0,1,0
284,45,22,210.0,94325,1.0,4.6,3,0.0,1,0,0,1,0
285,42,21,26.0,91196,1.0,0.6,2,0.0,0,0,0,0,0
286,65,40,123.0,92150,4.0,0.9,1,0.0,0,0,0,1,0
287,30,6,59.0,95607,4.0,2.7,1,270.0,0,0,0,0,0
288,48,23,68.0,91698,4.0,0.5,1,0.0,0,0,0,1,0
289,47,24,58.0,95061,1.0,0.3,1,339.0,0,0,0,1,0
290,44,24,70.0,92535,2.0,3.2,1,477.0,0,0,0,1,1
291,59,36,50.0,91259,4.0,2.9,3,588.0,0,0,0,0,0
292,35,13,121.0,90582,3.0,5.6,1,0.0,0,0,0,1,0
293,65,40,42.0,93289,1.0,1.3,3,0.0,0,1,0,1,0
294,37,15,102.0,92707,1.0,3.2,3,0.0,0,0,0,1,1
295,47,26,38.0,93068,2.0,1.1,2,0.0,0,0,0,0,1
296,46,26,53.0,90258,4.0,1.2,2,0.0,0,0,0,1,1
297,61,36,30.0,91608,1.0,1.0,1,0.0,0,0,1,0,0
298,42,18,70.0,90023,4.0,2.0,2,0.0,0,0,0,0,0
299,35,15,121.0,91814,3.0,4.6,1,0.0,0,0,0,1,1
300,23,1,52.0,95588,4.0,2.8,3,0.0,0,0,0,0,0
301,39,17,49.0,90913,4.0,2.9,1,0.0,0,0,0,0,1
302,60,38,30.0,94136,2.0,0.3,1,0.0,0,0,0,1,0
303,23,0,48.0,90034,4.0,1.3,3,0.0,0,0,0,1,0
304,63,43,23.0,93371,1.0,0.3,2,0.0,0,0,0,1,0
305,47,26,33.0,95525,2.0,0.8,2,0.0,0,0,0,1,0
306,29,8,62.0,92046,1.0,1.3,2,157.0,0,0,0,1,1
307,36,15,113.0,91182,1.0,1.6,1,0.0,0,0,0,0,0
308,47,22,256.0,93423,1.0,12.0,2,0.0,1,0,0,0,0
309,37,12,40.0,91673,1.0,1.3,1,0.0,0,0,0,1,0
310,27,7,120.0,95349,1.0,6.7,1,0.0,0,0,0,1,1
311,52,29,62.0,95093,,0.4,1,296.0,0,0,0,1,0
312,53,32,50.0,93914,1.0,0.4,1,0.0,0,0,0,1,1
313,28,7,69.0,93834,1.0,1.9,1,197.0,0,0,0,1,1
314,35,14,56.0,93614,4.0,0.5,2,0.0,0,0,0,0,0
315,33,12,58.0,94411,1.0,1.1,1,89.0,0,0,0,0,1
316,52,30,44.0,92761,1.0,2.6,1,0.0,0,0,0,1,1
317,55,30,25.0,95818,1.0,0.4,2,0.0,0,0,0,0,0
318,55,32,23.0,92074,1.0,0.4,1,0.0,0,0,0,1,0
319,65,41,78.0,90053,3.0,2.9,2,383.0,0,0,0,0,0
320,57,35,47.0,94191,4.0,1.5,3,0.0,0,0,0,1,0
321,37,17,39.0,93973,3.0,1.4,2,0.0,0,0,0,1,0
322,27,7,55.0,95885,3.0,1.4,3,0.0,0,0,0,0,1
323,50,29,85.0,92371,1.0,4.3,1,0.0,0,0,0,1,0
324,64,43,60.0,92548,4.0,0.8,1,180.0,0,0,0,1,0
325,66,41,38.0,93372,1.0,1.1,3,0.0,0,0,0,1,0
326,33,8,107.0,92353,3.0,4.6,3,460.0,0,1,1,0,0
327,33,8,130.0,94709,2.0,6.9,3,425.0,1,0,0,0,0
328,24,1,72.0,92568,4.0,1.8,1,0.0,0,0,0,1,0
329,29,6,93.0,94701,2.0,3.4,3,0.0,0,0,0,1,0
330,47,24,108.0,92553,3.0,1.0,1,401.0,1,0,0,0,0
331,47,25,102.0,91350,2.0,1.5,1,165.0,0,0,1,1,0
332,39,15,77.0,95943,3.0,0.7,1,174.0,0,0,0,1,1
333,36,12,76.0,93158,4.0,3.4,3,479.0,0,0,0,0,0
334,60,36,73.0,94240,3.0,1.5,1,0.0,0,0,1,1,0
335,43,20,30.0,93547,2.0,1.3,3,89.0,0,0,0,0,0
336,59,39,80.0,92155,2.0,0.7,2,0.0,0,0,0,1,1
337,66,42,26.0,95832,3.0,1.4,3,294.0,0,0,0,0,0
338,37,15,35.0,92229,2.0,1.8,3,389.0,0,0,0,1,0
339,32,8,112.0,95958,1.0,1.1,3,0.0,0,0,0,1,0
340,65,42,,92584,2.0,0.5,1,111.0,0,0,0,1,0
341,51,26,124.0,90135,1.0,1.0,1,0.0,0,0,0,0,0
342,36,14,47.0,90220,1.0,2.4,2,0.0,0,0,0,0,0
343,50,25,29.0,95841,2.0,0.5,1,0.0,0,0,0,0,0
344,46,21,48.0,93166,4.0,1.7,1,0.0,0,1,0,1,1
345,63,42,58.0,92325,4.0,1.6,1,558.0,0,0,0,1,0
346,34,12,57.0,94868,2.0,2.8,1,0.0,0,0,0,0,1
347,67,44,102.0,93702,2.0,3.3,1,0.0,0,0,0,0,0
348,65,41,45.0,93963,1.0,1.5,1,0.0,0,0,0,1,0
349,31,7,66.0,94112,4.0,3.9,3,86.0,0,0,0,0,0
350,30,5,32.0,91190,1.0,0.4,1,0.0,0,0,0,1,0
351,46,24,,90529,4.0,3.5,3,326.0,0,0,0,1,0
352,25,2,55.0,94368,4.0,0.4,3,327.0,0,0,0,0,1
353,36,14,36.0,90130,3.0,1.1,1,0.0,0,1,0,1,0
354,42,17,48.0,94316,2.0,2.6,3,329.0,0,0,0,1,0
355,66,45,49.0,90779,4.0,2.0,2,291.0,0,0,0,1,0
356,67,44,47.0,91575,3.0,2.0,2,200.0,0,0,0,0,0
357,29,9,145.0,94246,3.0,2.8,1,0.0,0,0,0,1,0
358,63,38,52.0,93737,4.0,1.5,1,363.0,0,0,0,0,0
359,27,5,48.0,94689,4.0,1.2,1,0.0,0,0,0,1,0
360,56,34,17.0,93665,1.0,0.6,2,440.0,0,0,1,1,0
361,61,38,33.0,90287,4.0,1.0,3,0.0,0,0,0,1,0
362,63,41,47.0,95038,4.0,1.1,2,269.0,1,0,1,1,0
363,33,8,37.0,91294,1.0,0.8,3,0.0,0,0,0,1,0
364,63,40,117.0,90816,2.0,2.2,3,296.0,0,1,0,1,0
365,28,5,50.0,95271,4.0,1.3,2,53.0,0,0,0,0,1
366,46,26,111.0,91169,1.0,1.5,1,91.0,0,0,1,1,1
367,44,24,56.0,93216,2.0,3.0,3,287.0,0,0,0,0,0
368,37,15,56.0,92915,3.0,2.1,1,95.0,0,0,0,0,0
369,23,0,52.0,94617,3.0,0.6,1,0.0,0,0,0,1,1
370,57,32,55.0,90264,4.0,2.4,2,0.0,0,0,0,1,0
371,38,15,141.0,90640,1.0,7.3,3,220.0,1,0,0,1,0
372,52,29,15.0,92493,2.0,0.3,1,0.0,0,0,0,1,0
373,41,19,18.0,92839,4.0,0.2,2,0.0,0,0,0,1,0
374,39,18,40.0,94729,3.0,0.2,1,372.0,0,0,0,1,1
375,62,42,55.0,93634,1.0,0.4,1,0.0,0,0,0,1,1
